feedback,sentiment_label,ratings,sentiment_desc,clean_text,text_length
"Everything is well organised with the various rooms (for photo, blood test, xray, main doctor's consultation etc) all situated around the huge waiting room with the sequence you have to follow communicated to you at the billing counter.",1,4,Positive,everything well organised various room photo blood test xray main doctor consultation etc situated around huge waiting room sequence follow communicated billing counter,23
Card payment is accepted.,1,5,Positive,card payment accepted,3
"While the cost of the tests is perhaps just a tad bit more than the other option (Elbit diagnostics), the convenience and service more than make up for it.",1,3,Positive,cost test perhaps tad bit option elbit diagnostics convenience service make,11
"While prior appointment booking is not required, you are advised to call before coming because the forms for some countries have to be printed and brought along with you (while others are available there).",1,3,Positive,prior appointment booking required advised call coming form country printed brought along others available,14
"The place can get quite crowded so if you wish to get done with all formalities within 1.5-2 hours, it is better to reach there before 830am when the billing counter opens. Don't forget to pick out a token from the machine near the counter.",1,3,Positive,place get quite crowded wish get done formality within hour better reach billing counter open dont forget pick token machine near counter,22
We are really satisfied with the service from Fortis. There is no negative point about this hospital. Well maintained and very systematic. The best part is your time will not be wasted even for 1 min. Thanks for the doctors and all other workers.,1,5,Positive,really satisfied service fortis negative point hospital well maintained systematic best part time wasted even min thanks doctor worker,19
Had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery. The doctors and staff of the hospital took utmost care. The best part of the hospital is that the team follows its processes and protocols so well.,1,4,Positive,emergency visit hospital father hospitalised couple day due surgery doctor staff hospital took utmost care best part hospital team follows process protocol well,23
We had a great experience with the hospital.,1,5,Positive,great experience hospital,3
Dr.Jawali and his team were very impressive not only for the surgery and procedure but also post operative following up with the patient and ensuring he was feeling absolutely.,1,5,Positive,drjawali team impressive surgery procedure also post operative following patient ensuring feeling absolutely,13
I would also thank the ICU nurses and the ward Nurses and all the different Dr.’s who were involved in ensuring my father recovered. Thank you So much !!!,1,5,Positive,would also thank icu nurse ward nurse different dr ’ involved ensuring father recovered thank much,16
Great care taken by the staff and hospital !! Special mention of Dr Vivek Padegal and Dr Ashish Parekh. Thanks to energetic and charming Nurse Ms Jacqueline for special care taken while treatment !!,1,4,Positive,great care taken staff hospital special mention dr vivek padegal dr ashish parekh thanks energetic charming nurse m jacqueline special care taken treatment,23
Dr Ravindra and team was excellent.,1,5,Positive,dr ravindra team excellent,4
Treatment given to the partient was impeccable! All the staff are much recognized for their dedication and kindness given to the patient throughout.,1,5,Positive,treatment given partient impeccable staff much recognized dedication kindness given patient throughout,12
" Immense gratitude to all the Fortis team for ensuring my well-being, ensuring comfort and fast recovery.",1,4,Positive,immense gratitude fortis team ensuring wellbeing ensuring comfort fast recovery,10
Thank you once again for your outstanding service and commitment towards excellence. Each one's role and efforts are much appreciated..,1,5,Positive,thank outstanding service commitment towards excellence one role effort much appreciated,11
Dr. Narayan Hulse is an amazing doctor. Nurses are also very humble and caring.,1,5,Positive,dr narayan hulse amazing doctor nurse also humble caring,9
Midnight also they are very quick and active. They are present near the patient whenever needed. ,1,5,Positive,midnight also quick active present near patient whenever needed,9
Food service is also very good. Housekeepers are doing their job efficiently. The hospital is very clean.,1,5,Positive,food service also good housekeeper job efficiently hospital clean,9
"My co-sister, 81 had a knee replacement during covid. Post surgery had complications pain did not subside. She became totally bedridden. ",1,4,Positive,cosister knee replacement covid post surgery complication pain subside became totally bedridden,12
We met Dr. Narayan Hulse at Fortis for his opinion. He gave us 100% assurance and operated her.,1,5,Positive,met dr narayan hulse fortis opinion gave u assurance operated,10
She walks now independently of course with Walker. She is ever grateful to him. Thanks a ton Doctor for giving her another life. ,1,5,Positive,walk independently course walker ever grateful thanks ton doctor giving another life,12
 They book more appointments than capacity. My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.,1,3,Positive,book appointment capacity wife went checkup fortis friend went hiranandani mumbai started time today friend finished process wife finished pm avoid master health checkup,24
Don't go buy name of the hospital. ,0,1,Negative,dont go buy name hospital,5
Worst experience when we went for the full body health checkup..,0,2,Negative,worst experience went full body health checkup,7
Don't go buy name of the hospital. ,0,1,Negative,dont go buy name hospital,5
They do not care.. only thing they care is money. Once money is in their bank account you are on your own.,0,2,Negative,care thing care money money bank account,7
The staff for health checkup is worst and doesn't know how to manage people and give proper guidance. ,0,1,Negative,staff health checkup worst doesnt know manage people give proper guidance,11
If you say you do not have any visible issue they will finish the examination in less than a minute and send you out to serve next customer.,0,1,Negative,say visible issue finish examination le minute send serve next customer,11
"Poor service, disorganized, no value for people's time and over-priced. ",0,2,Negative,poor service disorganized value people time overpriced,7
After charging a bomb to the patients they have no system in place. ,0,1,Negative,charging bomb patient system place,5
Booking an appointment is a joke as you can never get things done as per the appointment time.,0,2,Negative,booking appointment joke never get thing done per appointment time,10
They expect people to be unemployed or on indefinite leave while visiting their hospital for treatment.,0,2,Negative,expect people unemployed indefinite leave visiting hospital treatment,8
"The road outside the hospital is full of garbage and dirty potholes, the hospital administration should take some responsibility to make it walk-able for patients and their families.",0,1,Negative,road outside hospital full garbage dirty pothole hospital administration take responsibility make walkable patient family,15
I took a comprehensive health check up package here with an appointment date and time. The total duration we were supposed to wait was around 5-6 hours.,0,2,Negative,took comprehensive health check package appointment date time total duration supposed wait around hour,14
I'd suggest just don't go by name. There are lot of local labs who provide much better services in less fees. Truly horrible and unexpected experience at Fortis.,1,3,Positive,id suggest dont go name lot local lab provide much better service le fee truly horrible unexpected experience fortis,19
My Heartfelt Plea for Better Patient Care: A Harrowing Experience at Fortis Hospital,0,1,Negative,heartfelt plea better patient care harrowing experience fortis hospital,9
Please display few boards in the entrance of the hospital and also in the emergency department,1,3,Positive,please display board entrance hospital also emergency department,8
Stating THIS HOSPITAL IS NOT FOR MIDDLE CLASS PEOPLE,1,3,Positive,stating hospital middle class people,5
Nice hospital and doctors also good and they take care patience super.eventhing is super in the hospital 🎉 …,1,5,Positive,nice hospital doctor also good take care patience supereventhing super hospital 🎉 …,13
Very good hospital and care.Excellent services. Happy with Fortis,1,5,Positive,good hospital careexcellent service happy fortis,6
Dr. Harsha has provided amazing treatment. The night shift nurses are helpful. Overall management was very good.,1,4,Positive,dr harsha provided amazing treatment night shift nurse helpful overall management good,12
Must visit for Dr Suresh Babu for chemotherapy,1,3,Positive,must visit dr suresh babu chemotherapy,6
Dr Gayathri Kamath is a very good doctor.Very reliable who you can believe in .Very good services at Fortis.She made all my pregnancy complications nothing making it smooth and helped me getting recovered much faster.,1,5,Positive,dr gayathri kamath good doctorvery reliable believe good service fortisshe made pregnancy complication nothing making smooth helped getting recovered much faster,21
Dr.Vivek belatur treatment is super . Chemotherapy treatment went well and smooth . Happy with Fortis and it's services.,1,4,Positive,drvivek belatur treatment super chemotherapy treatment went well smooth happy fortis service,12
My father has been treated under supervision of Dr Adil Hasaan and Dr Suresh Babu sir.,1,5,Positive,father treated supervision dr adil hasaan dr suresh babu sir,10
"The service provided here is good with very professional and friendly staff. Doctors were very professional, experienced and responsible. ",1,5,Positive,service provided good professional friendly staff doctor professional experienced responsible,10
Special thanks to Kavita for all the guidance and support she had provided us so far.,1,4,Positive,special thanks kavita guidance support provided u far,8
Very crowdy and excessive long queues. Try to avoid and be happy😊😊 …,1,5,Positive,crowdy excessive long queue try avoid happy😊😊 …,8
Such a worst staff in this hospital.,0,1,Negative,worst staff hospital,3
they are charging too much for small thing n most important thing is unka security staff Jo apko hospital staff se jyada enquiry karte hai n too much rude behaviour like a roadside loafer,0,1,Negative,charging much small thing n important thing unka security staff jo apko hospital staff se jyada enquiry karte hai n much rude behaviour like roadside loafer,26
"The overall dignosis, treantment plan and post opp recevery management was super excellent and have a complete recovery without any post opp complications despite having complex health condition prior to the surgery. ",1,5,Positive,overall dignosis treantment plan post opp recevery management super excellent complete recovery without post opp complication despite complex health condition prior surgery,22
"The entire doctors team, Dr Gayathri from gynaecology, Dr sharath chandra from surgery and Dr sudha from internal medicine, Dr Shwetha from gynaecology and the nursing staff, have given the best treatment and excellent psychological support to us.",1,4,Positive,entire doctor team dr gayathri gynaecology dr sharath chandra surgery dr sudha internal medicine dr shwetha gynaecology nursing staff given best treatment excellent psychological support u,26
"They were with us each and every stage planning the best treatment for me and also giving confidence and mental support, that we felt homely.",1,5,Positive,u every stage planning best treatment also giving confidence mental support felt homely,13
"This team of doctors was very friendly, approachable, service oriented and selfless service and extremely professional. Once again a big thank you from the bottom of our heart",1,5,Positive,team doctor friendly approachable service oriented selfless service extremely professional big thank bottom heart,14
"Dr Mohan Keshavamurthy and team All doctors, All nursing staff, especially 6th floor staff, Jeena Davis nursing supervisor... We thank each and every one for your support.....",1,4,Positive,dr mohan keshavamurthy team doctor nursing staff especially th floor staff jeena davis nursing supervisor thank every one support,19
Always good,1,5,Positive,always good,2
"Dr Manisha Rajpal Singh treated for Laparoscopy, Hysteroscopy, Dilatation & curettage, cervical cauterization, Bilateral Ovarian endometrosis excision. We came from Bangladesh specifically to consult the doctor.",1,4,Positive,dr manisha rajpal singh treated laparoscopy hysteroscopy dilatation curettage cervical cauterization bilateral ovarian endometrosis excision came bangladesh specifically consult doctor,20
"Doctor is very professional, caring. Dr Roopa from the team too. Nursing care are superb. Hygiene by support teams",1,5,Positive,doctor professional caring dr roopa team nursing care superb hygiene support team,12
I done immigration health check up here in fortis hospital bannargetta.. ,1,5,Positive,done immigration health check fortis hospital bannargetta,7
"it was amazing experience and helpful staffs especially Ms poornima , Ms manjula ans Santhosh",1,4,Positive,amazing experience helpful staff especially m poornima m manjula an santhosh,11
We have visited the hospital for knee replacement for my mother and Dr. Narayan Hulse has treated her very well and explained the minute details as well.,1,5,Positive,visited hospital knee replacement mother dr narayan hulse treated well explained minute detail well,14
"Once the surgery is completed my mother has recovered well and thanks to Narayan Hulse and team who treated well and along with physiotherapy, nursing and House keeping department.",1,5,Positive,surgery completed mother recovered well thanks narayan hulse team treated well along physiotherapy nursing house keeping department,17
Excellent treatment in Fortis bannergatta. Dr Anil Kumar Kustagi treatment made my son up and above. Nursing staffs are excellent.,1,4,Positive,excellent treatment fortis bannergatta dr anil kumar kustagi treatment made son nursing staff excellent,14
Dr Mohan Keshavamurthy operated for kidney stone with laser treatment. Overall treatment services are good. Nursing night staff was very caring.,1,5,Positive,dr mohan keshavamurthy operated kidney stone laser treatment overall treatment service good nursing night staff caring,16
Had a better experience in the treatment of my mother at fortis hospital by Dr. Shashidhara,1,5,Positive,better experience treatment mother fortis hospital dr shashidhara,8
Feel to bow to Dr Narayan Hulse. He is such a great doctor. I am relaxed once I heard from him about the surgery. ,1,4,Positive,feel bow dr narayan hulse great doctor relaxed heard surgery,10
"Big thanks to Dr Narayan Hulse. Nursing Mahalakshmi, Shalini, Nivetha many more attended on me. Very caring. Physio team are excellent in their work.",1,5,Positive,big thanks dr narayan hulse nursing mahalakshmi shalini nivetha many attended caring physio team excellent work,16
"Dr. Mohan Keshavamurthy has done my surgery. Nurses including Josena, Parimala they are very caring.",1,4,Positive,dr mohan keshavamurthy done surgery nurse including josena parimala caring,10
The care and hospitality offered by the staff (from all the departments) and Fortis as a whole is excellent.,1,5,Positive,care hospitality offered staff department fortis whole excellent,8
"Most importantly, the treating doctor Mr. Ravindra BS and the whole Gastroenterology department had been effective in diagnosing the health issue appropriately. ",1,5,Positive,importantly treating doctor mr ravindra b whole gastroenterology department effective diagnosing health issue appropriately,14
The treatment given by Dr.Ravindra and Team has brought a lot of improvements in my health and able to cope with my life as a very healthy and confident person. Thanks again for everything. Please keep up the good work!!,1,4,Positive,treatment given drravindra team brought lot improvement health able cope life healthy confident person thanks everything please keep good work,20
Dr. Shabeer Ahmed is a very good doctor. He explained everything to us clearly and amazing treatment has been provided,1,5,Positive,dr shabeer ahmed good doctor explained everything u clearly amazing treatment provided,12
"My husband is doing well. CABG is done by Dr Vivek Jawali & team Dr Murali Manohar, Dr Sudarshan, Dr Nikhil. ",1,4,Positive,husband well cabg done dr vivek jawali team dr murali manohar dr sudarshan dr nikhil,15
"Happy with very good service by doctors and staffs ICU staffs are excellent. Polina, Prafulla, Priya toi are excellent. Big thanks to support staffs as well.",1,5,Positive,happy good service doctor staff icu staff excellent polina prafulla priya toi excellent big thanks support staff well,18
Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.,1,5,Positive,dr ravindra undoubtedly amazing doctor efficiency treatment helped cure health issue nurse also providing good service,16
Review is for master health checkup.,0,1,Negative,review master health checkup,4
Poorly managed patient flow.,0,2,Negative,poorly managed patient flow,4
They book more appointments than capacity. ,0,2,Negative,book appointment capacity,3
My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.,0,1,Negative,wife went checkup fortis friend went hiranandani mumbai started time today friend finished process wife finished pm avoid master health checkup,21
Excellent medical facilities and services.,1,5,Positive,excellent medical facility service,4
Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.,1,4,Positive,dr ravindra undoubtedly amazing doctor efficiency treatment helped cure health issue nurse also providing good service,16
"We consulted Dr.Sudarshan G T, they treated us very well. We are happy with the hospital service.",1,5,Positive,consulted drsudarshan g treated u well happy hospital service,9
Dr Vivek Belathur is a very good oncologist. happy with his treatment. Kavitha madam is very helpful and kind.,1,4,Positive,dr vivek belathur good oncologist happy treatment kavitha madam helpful kind,11
"Happy to get treated by Dr Vivek Belathur ,the best oncologist in Bangalore. His care to his patient is wonderful.",1,5,Positive,happy get treated dr vivek belathur best oncologist bangalore care patient wonderful,12
All the staffs afe caring and responsible.Ms Kavitha is an amazing pesrson who is very helpful in every step of the treatment.Thanks to Fortis.,1,5,Positive,staff afe caring responsiblems kavitha amazing pesrson helpful every step treatmentthanks fortis,12
I have been visiting for Cancer treatment. Dr. Suresh Babu is coordinating for the treatment and experience with the doctor and hospital has been good.,1,5,Positive,visiting cancer treatment dr suresh babu coordinating treatment experience doctor hospital good,12
Nice response from doctor and staff Tq,1,4,Positive,nice response doctor staff tq,5
"Diagnosis, treatment and care are good",1,4,Positive,diagnosis treatment care good,4
Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,0,1,Negative,hopeless hospital dont know got jci nabh value patient attendant time,11
Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,0,2,Negative,receptionist want money dont care doctor hr late give money,10
I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,0,1,Negative,went father tracheostomy n issue made wait hour n said wait want go,13
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.",0,1,Negative,called book appointment requested senior doctor seeked year experience dont want share transparency called appolo give detailsexperience feel comfortable choosing doctor fortispls transperency right patient,25
I was having menopause related issues and went to see a gynecologist. ,0,2,Negative,menopause related issue went see gynecologist,6
hey kept me waiting until 4pm and then after several requests they let me see her. It was unfortunate for me to have gone for a check up and with this rather rude and very arrogant gynecologist. ,0,1,Negative,hey kept waiting pm several request let see unfortunate gone check rather rude arrogant gynecologist,15
Didn't give anesthesia and directly stabbed (this is the right word) my vagina. It happened 8years back. ,0,1,Negative,didnt give anesthesia directly stabbed right word vagina happened year back,11
After that incident I lost sensibility in that part. I could have left the hospital without seeing her if the hospital had not collected the fee in advance.,0,2,Negative,incident lost sensibility part could left hospital without seeing hospital collected fee advance,13
It's a bad practice for the hospital to collect the fee in advance. So patients be alert while selecting your doctor.,0,1,Negative,bad practice hospital collect fee advance patient alert selecting doctor,10
Not every body is like that. I have been busy all these years and now got free time and thought of sharing my experience,1,3,Positive,every body like busy year got free time thought sharing experience,11
Some of the doctors are very good... ,1,5,Positive,doctor good,2
but some of them are are really terrible especially the ones who are in emergency. ,1,3,Positive,really terrible especially one emergency,5
I had a very good repo for Fortis hospitals but no more ... they are good for themselves good for making money for them by employing such doctors ...,0,1,Negative,good repo fortis hospital good good making money employing doctor,10
"And walking from the car parking to the hospital feels like a dungeon, under rattling pipes next to pump rooms and what not. Truly scary.",0,2,Negative,walking car parking hospital feel like dungeon rattling pipe next pump room truly scary,14
"Also, minimum car parking charge of ₹60 was pure loot. I'd barely left the car for 5 mins there, and still had to pay 60.",1,3,Positive,also minimum car parking charge ₹ pure loot id barely left car min still pay,15
"Administrative service is so irresponsible for orthopaedic department, inspite of collecting token they have not billed me for hrs.",0,2,Negative,administrative service irresponsible orthopaedic department inspite collecting token billed hr,10
"I took an appointment for 11 am and its now 12:30 pm but still didn't got to see doctor, the ladies in reception are so rude that they do not care if the patient is suffering due to their delay in billing. They work so slow that patient has to wait for so long.",0,2,Negative,took appointment pm still didnt got see doctor lady reception rude care patient suffering due delay billing work slow patient wait long,22
"Dr. Rajpal in cardiologist department, this whole Fortis hospital and the App myFortis is a total scam. They took the appointment fees, even when the appointment was cancelled they haven't refunded the amount back. From 12th July to this November i have not got the refund.",0,2,Negative,dr rajpal cardiologist department whole fortis hospital app myfortis total scam took appointment fee even appointment cancelled havent refunded amount back th july november got refund,26
I mean if you are so backdated and illiterate that you don't even know that account statement pdf and physical passbook would show same records then why even are you trying tO get an app for your hospital.,0,2,Negative,mean backdated illiterate dont even know account statement pdf physical passbook would show record even trying get app hospital,19
Worst hospital. Simply looting people with too high charges. In emergency there was only 1 nurse who was not able to handle all. In billing there is only one person sitting causing inconvenience to huge queue. Only go there if you have too much money.,0,2,Negative,worst hospital simply looting people high charge emergency nurse able handle billing one person sitting causing inconvenience huge queue go much money,22
Highly Disappointed for Security Service very arrogant speaks for all securities and admission counter Are very waste for Customer support Not given Solutions for ward Booking Billing Manager Ram is very careless speaks for customers not given proper solutions..,0,1,Negative,highly disappointed security service arrogant speaks security admission counter waste customer support given solution ward booking billing manager ram careless speaks customer given proper solution,25
I paid Almost 20 lacks for last one year But Last week I am very Disappointed for Admission counter And Billing Manager And Securities....,0,2,Negative,paid almost lack last one year last week disappointed admission counter billing manager security,14
One of the worst hospital in entire india. Doctors visit for In-patient only once a day with utter non sense knowledge. Unprofessional nurse and administration who treats patients like materials. Expenses is pathetic who takes 50K for just investigation of the patient.,0,1,Negative,one worst hospital entire india doctor visit inpatient day utter non sense knowledge unprofessional nurse administration treat patient like material expense pathetic take k investigation patient,26
"Last but not least, Dr. Balaji and Dr. Ravindra were excellent and they deserve to work in a better hospital who values patients better.",1,5,Positive,last least dr balaji dr ravindra excellent deserve work better hospital value patient better,14
One of the worst hospitals with one or the worst services.,0,2,Negative,one worst hospital one worst service,6
"They don’t care about patients, all they care about is money. I wanted to get a few blood tests done, I tried contacting their health check up department but nobody answered. When we call the customer service they say call the health check up department. I had made atleast 15 calls and went off without an answer.",0,2,Negative,’ care patient care money wanted get blood test done tried contacting health check department nobody answered call customer service say call health check department made atleast call went without answer,31
"Since it was important that the test be done in this particular hospital only, I went there which is around 8 KMs from my house to take an appointment but there also I was given a contact number. Again which no one picked up.",0,1,Negative,since important test done particular hospital went around km house take appointment also given contact number one picked,18
One of the worst hospital my mother was admitted she was having ejection fraction of the heart of 35℅ but they gave false information saying 15℅ in the report and the cardiologist doctor venkatesh called us in enquired about our financial information ..,0,2,Negative,one worst hospital mother admitted ejection fraction heart ℅ gave false information saying ℅ report cardiologist doctor venkatesh called u enquired financial information,23
"Doctors appear to care more about following administrative procedures rather than healing. Pharmacy is not efficient, and does not sell medicine according to dosage. They only care about maximizing profit by selling medicine in full strip instead of how much patients need!",0,1,Negative,doctor appear care following administrative procedure rather healing pharmacy efficient sell medicine according dosage care maximizing profit selling medicine full strip instead much patient need,25
"Very poor services. I got my blood culture done on 9th June 2023. Till now no reports. I got admitted also, I must say, it is one of the most pathetic hospital. The doctors don’t come. The nurses have to be reminded to give medicine. The food is pathetic, it stinks. Think twice.",0,2,Negative,poor service got blood culture done th june till report got admitted also must say one pathetic hospital doctor ’ come nurse reminded give medicine food pathetic stink think twice,30
"Went for a equipment service in the hospital, the securitys in back gate are very unprofessional.",0,1,Negative,went equipment service hospital security back gate unprofessional,8
Highly Disappointed for Security Service very arrogant speaks for all securities and admission counter Are very waste for Customer support Not given Solutions for ward Booking Billing Manager Ram is very careless speaks for customers not given proper solutions..,0,2,Negative,highly disappointed security service arrogant speaks security admission counter waste customer support given solution ward booking billing manager ram careless speaks customer given proper solution,25
I paid Almost 20 lacks for last one year But Last week I am very Disappointed for Admission counter And Billing Manager And Securities....,0,1,Negative,paid almost lack last one year last week disappointed admission counter billing manager security,14
Met dr Niti Raizada for treatment of micosis fungoids. The team attended us very well. My husband had secondary infection and it was taken care well. Nursing services and hospitality was very good.,1,5,Positive,met dr niti raizada treatment micosis fungoids team attended u well husband secondary infection taken care well nursing service hospitality good,21
All services are good. Doctors and nurses are very good. Dr. Mohan Keshavamurthy is an amazing doctorNurse Joseena has helped us whenever we needed. Hospital is clean and well maintained.,1,5,Positive,service good doctor nurse good dr mohan keshavamurthy amazing doctornurse joseena helped u whenever needed hospital clean well maintained,19
Dr Rajpal Singh & Dr Jyothi are the best doctors. They brought faith in us. Their approach towards us is humane and are regularly available showing us utmost care. Over all had a very pleasant experience. Everything is maintained well. Grateful to all the nurses who have helped me recover.,1,5,Positive,dr rajpal singh dr jyothi best doctor brought faith u approach towards u humane regularly available showing u utmost care pleasant experience everything maintained well grateful nurse helped recover,29
"Dr. Prasanth kesari treats the patient well and operated my daughters finger injury very well and we are satisfied with it Nurse Anju, Sneha, Anshu, Dhaya were very kind and caring.",1,5,Positive,dr prasanth kesari treat patient well operated daughter finger injury well satisfied nurse anju sneha anshu dhaya kind caring,19
Dr Ajay Rao is an excellent oncologist.We are amazed with his treatment and care given to my mother.Nursing services is wonderful by Ms Ankamma and Ms Sai Rahithya .All the staffs here are very supportive mentally especially Ms Kavitha (SLM).She helped us in every step of the treatment.Special thanks to her .,1,5,Positive,dr ajay rao excellent oncologistwe amazed treatment care given mothernursing service wonderful m ankamma m sai rahithya staff supportive mentally especially m kavitha slmshe helped u every step treatmentspecial thanks,30
"Dr Shivananda Patil is extraordinary....3rd floor ICU Bro Manikandan D, Sis Soumya are superb. Nurses, cleaning staffs in ICU and 6th floor are doing good job. Thank you for your wonderful service. Thank you Dr Shivanand Patil sir.",1,5,Positive,dr shivananda patil extraordinaryrd floor icu bro manikandan si soumya superb nurse cleaning staff icu th floor good job thank wonderful service thank dr shivanand patil sir,27
